Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree
184,CalPolyCubeSat,,5,0.000188,0,0,0,0,2,0,2
185,exactEarth,,0,0.000189,0,0,0,0,4,0,4
186,JLTozer,,0,0.000188,0,0,0,0,2,0,2
187,OV_099,,4,0.000188,0,0,0,0,2,0,2
188,RebelGeo,,0,0.000188,0,0,0,0,2,0,2
189,ScottWx_TWN,,5,0.000188,0,0,0,0,2,0,2
190,ThWrex,,4,0.000188,0,0,0,0,2,0,2
191,PeterM76,,0,0.000188,0,0,0,0,2,0,2
192,TheNasaLady,,4,0.000189,0,0,0,0,3,0,3
193,Montsecor,,1,0.000188,0,0,0,0,3,0,3
194,tmro,,4,0.002251,0,0,0,0,11,0,11
195,LuckyStrz,,0,0.000188,0,0,0,0,2,0,2
196,LisaStoj,,3,0.000189,0,0,0,0,4,0,4
197,jilliannesays,,3,0.000188,0,0,0,0,3,0,3
198,RichTPar,,4,0.000189,0,0,0,0,3,0,3
199,AVClubVids,,4,0.000188,0,0,0,0,3,0,3
200,KristinFisher,,3,0.000188,0,0,0,0,3,0,3
201,BritCoopz,,5,0.000188,0,0,0,0,2,0,2
202,Medium,,2,0.000189,0,0,0,0,4,0,4
203,ifmoonwascookie,,5,0.000188,0,0,0,0,2,0,2
204,coreyspowell,,5,0.00019,0,0,0,0,3,0,3
205,TimFernholz,,3,0.000189,0,0,0,0,4,0,4
206,MurrayNewlands,,7,0.000188,0,0,0,0,2,0,2
207,ALMA_Japan,,0,0.000188,0,0,0,0,2,0,2
208,geo4nonpro,,6,0.000188,0,0,0,0,2,0,2
209,CornellEng,,0,0.000188,0,0,0,0,2,0,2
210,StanfordEng,,0,0.000188,0,0,0,0,2,0,2
211,GeoByHarris,,0,0.000188,0,0,0,0,2,0,2
212,SpaceBrendan,,4,0.000189,0,0,0,0,5,0,5
213,mikegruss,,6,0.000188,0,0,0,0,2,0,2
214,nordicgeo,,0,0.000188,0,0,0,0,2,0,2
215,ianbremmer,,2,0.000188,0,0,0,0,2,0,2
216,URISAVC,,0,0.000188,0,0,0,0,2,0,2
217,Jobs_in_GIS,,0,0.000188,0,0,0,0,2,0,2
218,MitchellStudies,,6,0.000191,0,0,0,0,6,0,6
219,BrookingsInst,,0,0.000188,0,0,0,0,2,0,2
220,CFR_org,,2,0.000189,0,0,0,0,4,0,4
221,RANDCorporation,,6,0.000189,0,0,0,0,4,0,4
222,CSIS,,6,0.00019,0,0,0,0,4,0,4
223,CNASdc,,6,0.000189,0,0,0,0,4,0,4
224,RSaik,,1,0.000188,0,0,0,0,2,0,2
225,GIS_Advocate,,0,0.000188,0,0,0,0,2,0,2
226,EsriEnvironment,,0,0.000188,0,0,0,0,2,0,2
227,kjbrazil,,1,0.000188,0,0,0,0,2,0,2
228,NASAEarthData,,0,0.00019,0,0,0,0,2,0,2
229,CopernicusEU,,0,0.000189,0,0,0,0,5,0,5
230,stevewake,,1,0.000188,0,0,0,0,2,0,2
231,UNOSAT,,0,0.000188,0,0,0,0,3,0,3
232,SciAstro,,4,0.002377,0,0,0,0,17,0,17
233,nasa_eyes,,0,0.002319,0,0,0,0,16,0,16
234,wadejlarson,,3,0.000188,0,0,0,0,3,0,3
235,trimbledata,,0,0.000188,0,0,0,0,2,0,2
236,TerraRemote,,0,0.000188,0,0,0,0,2,0,2
237,GPSGIS_Eric,,6,0.000188,0,0,0,0,2,0,2
238,z_sat,,3,0.000188,0,0,0,0,3,0,3
239,idisruptspace,,0,0.000188,0,0,0,0,2,0,2
240,scasey1960,,1,0.00019,0,0,0,0,6,0,6
241,spacetechexpo,,7,0.000194,0,0,0,0,8,0,8
242,GeoNe_ws,,0,0.000188,0,0,0,0,2,0,2
243,gisjourno,,0,0.000188,0,0,0,0,2,0,2
244,CAL_FIRE,,1,0.000188,0,0,0,0,2,0,2
245,USGSted,,0,0.000188,0,0,0,0,2,0,2
246,leyink,,1,0.000188,0,0,0,0,2,0,2
247,colin__hart,,0,0.000188,0,0,0,0,2,0,2
248,cbs_spacenews,,3,0.002338,0,0,0,0,11,0,11
249,NewSpaceCon,,1,0.000192,0,0,0,0,10,0,10
250,ScriptPhD,,1,0.000188,0,0,0,0,2,0,2
251,StartsWithABang,,2,0.000189,0,0,0,0,3,0,3
252,SciWriAlicia,,3,0.000189,0,0,0,0,4,0,4
253,philipyam,,0,0.000188,0,0,0,0,2,0,2
254,aminawrite,,5,0.000188,0,0,0,0,3,0,3
255,astrolisa,,1,0.000189,0,0,0,0,5,0,5
256,EmilyAnthes,,1,0.000188,0,0,0,0,2,0,2
257,edyong209,,1,0.000189,0,0,0,0,5,0,5
258,DrSpectra,,5,0.000188,0,0,0,0,2,0,2
259,spacewriter,,1,0.000188,0,0,0,0,3,0,3
260,ForeignPolicy,,0,0.000188,0,0,0,0,3,0,3
261,howellspace,,5,0.00019,0,0,0,0,8,0,8
262,JamesMartinCNS,,6,0.000188,0,0,0,0,2,0,2
263,MIIS,,6,0.000188,0,0,0,0,2,0,2
264,EuroGeosciences,,0,0.000188,0,0,0,0,3,0,3
265,planetizen,,0,0.000188,0,0,0,0,2,0,2
266,nature_org,,1,0.000188,0,0,0,0,3,0,3
267,SpaceTrackOrg,,6,0.00019,0,0,0,0,3,0,3
268,chriscardinal,,6,0.000189,0,0,0,0,2,0,2
269,star_geek,,4,0.000189,0,0,0,0,3,0,3
270,bdbdb,,1,0.000188,0,0,0,0,2,0,2
271,leeroop,,0,0.000188,0,0,0,0,2,0,2
272,AstroKarenN,,4,0.002912,0,0,0,0,27,0,27
273,AgilistaAG,,5,0.000188,0,0,0,0,3,0,3
274,brenthaeseker,,1,0.000188,0,0,0,0,2,0,2
275,JPJDeveloper,,1,0.000188,0,0,0,0,2,0,2
276,rfrahm,,1,0.000188,0,0,0,0,2,0,2
277,GomezJames,,4,0.000189,0,0,0,0,3,0,3
278,eugenephoto,,1,0.000188,0,0,0,0,2,0,2
279,therealdjflux,,1,0.000188,0,0,0,0,3,0,3
280,jotulloch,,1,0.000188,0,0,0,0,2,0,2
281,jtowns,,1,0.000188,0,0,0,0,3,0,3
282,NASASpaceSciEdu,,1,0.000189,0,0,0,0,3,0,3
283,HollywoodDebi,,4,0.000188,0,0,0,0,2,0,2
284,yembrick,,1,0.000189,0,0,0,0,5,0,5
285,projmgr,,0,0.000188,0,0,0,0,2,0,2
286,amikokauderer,,2,0.00019,0,0,0,0,7,0,7
287,CalebGarling,,0,0.000188,0,0,0,0,2,0,2
288,NASA_Kirk,,0,0.000191,0,0,0,0,2,0,2
289,KeystoneFlight,,4,0.000192,0,0,0,0,5,0,5
290,Astro_Ellen,,4,0.002373,0,0,0,0,15,0,15
291,Tungsten_Flight,,4,0.000195,0,0,0,0,9,0,9
292,jnmatthew,,0,0.00019,0,0,0,0,3,0,3
293,Carbon_Flight,,4,0.000197,0,0,0,0,10,0,10
294,absolutspacegrl,,1,0.000188,0,0,0,0,3,0,3
295,doctorjeff,,3,0.000189,0,0,0,0,6,0,6
296,AstroRM,,4,0.002397,0,0,0,0,17,0,17
297,DJSnM,,3,0.00019,0,0,0,0,5,0,5
298,roscosmos,,4,0.002585,0,0,0,0,24,0,24
299,isro,,0,0.002324,0,0,0,0,15,0,15
300,danahull,,2,0.000194,0,0,0,0,6,0,6
301,lorengrush,,3,0.002282,0,0,0,0,16,0,16
302,MarosSefcovic,,0,0.000188,0,0,0,0,2,0,2
303,AndOneTech,,7,0.000188,0,0,0,0,2,0,2
304,AerospaceEmma,,3,0.000188,0,0,0,0,2,0,2
305,Science4Future,,0,0.000188,0,0,0,0,2,0,2
306,drshow,,0,0.000188,0,0,0,0,2,0,2
307,molfli,,1,0.000188,0,0,0,0,4,0,4
308,NASA_Marshall,,4,0.002664,0,0,0,0,37,0,37
309,CPPGeophysics,,0,0.000188,0,0,0,0,2,0,2
310,radjanirad,,5,0.000188,0,0,0,0,2,0,2
311,LeafletJS,,0,0.000188,0,0,0,0,2,0,2
312,KQEDscience,,4,0.00019,0,0,0,0,5,0,5
313,marsrader,,5,0.000189,0,0,0,0,5,0,5
314,jtauber,,1,0.000188,0,0,0,0,2,0,2
315,RyanMaue,,0,0.000188,0,0,0,0,2,0,2
316,JyovianStorm,,1,0.000188,0,0,0,0,2,0,2
317,ProfSaraSeager,,0,0.00019,0,0,0,0,2,0,2
318,MichaelEMann,,5,0.00019,0,0,0,0,3,0,3
319,UKCubeSatForum,,0,0.000188,0,0,0,0,2,0,2
320,AZGeology,,5,0.000188,0,0,0,0,2,0,2
321,ac_charania,,1,0.000191,0,0,0,0,10,0,10
322,karpathy,,2,0.000199,0,0,0,0,6,0,6
323,KirkDBorne,,0,0.000188,0,0,0,0,2,0,2
324,NASAdata,,5,0.00019,0,0,0,0,3,0,3
325,aussiastronomer,,1,0.000191,0,0,0,0,4,0,4
326,odsc,,0,0.000188,0,0,0,0,2,0,2
327,CopernicusEMS,,0,0.000188,0,0,0,0,4,0,4
328,pixalytics,,0,0.000188,0,0,0,0,2,0,2
329,ISUnet,,3,0.002262,0,0,0,0,13,0,13
330,qgis,,0,0.000188,0,0,0,0,2,0,2
331,dig_geo_com,,0,0.000188,0,0,0,0,2,0,2
332,wildlifegisgirl,,0,0.000188,0,0,0,0,2,0,2
333,geo_will,,0,0.000188,0,0,0,0,2,0,2
334,NatGeoMaps,,0,0.000188,0,0,0,0,2,0,2
335,CatherineQ,,1,0.00019,0,0,0,0,7,0,7
336,Summer_Ash,,5,0.000188,0,0,0,0,2,0,2
337,seanmcarroll,,5,0.000189,0,0,0,0,5,0,5
338,AstroKatie,,1,0.00019,0,0,0,0,7,0,7
339,GrubbWVU,,1,0.000188,0,0,0,0,2,0,2
340,SGACSSPG,,0,0.000188,0,0,0,0,2,0,2
341,RAX_2010,,0,0.000188,0,0,0,0,2,0,2
342,GEOINTsymposium,,7,0.00019,0,0,0,0,5,0,5
343,JohnDeere,,7,0.000188,0,0,0,0,3,0,3
344,davidtlang,,1,0.000195,0,0,0,0,2,0,2
345,robglnn,,7,0.000189,0,0,0,0,3,0,3
346,EIJournal,,0,0.000188,0,0,0,0,2,0,2
347,AstroDot,,4,0.002316,0,0,0,0,13,0,13
348,Toby_Bruce,,0,0.000188,0,0,0,0,2,0,2
349,bld175,,1,0.000188,0,0,0,0,2,0,2
350,uncseds,,1,0.000188,0,0,0,0,2,0,2
351,tamuseds,,3,0.000189,0,0,0,0,3,0,3
352,bzwingzero,,4,0.000188,0,0,0,0,3,0,3
353,mike_zwach,,1,0.000188,0,0,0,0,2,0,2
354,JConafay,,3,0.000188,0,0,0,0,2,0,2
355,herrea,,1,0.000188,0,0,0,0,2,0,2
356,sheila_A,,1,0.000188,0,0,0,0,2,0,2
357,BraxtonJulie,,1,0.000188,0,0,0,0,2,0,2
358,mtclemente,,4,0.000188,0,0,0,0,2,0,2
359,arma358,,1,0.000188,0,0,0,0,2,0,2
360,ruthie147,,1,0.000188,0,0,0,0,3,0,3
361,madge707,,1,0.000188,0,0,0,0,2,0,2
362,DefenceBird,,7,0.000188,0,0,0,0,2,0,2
363,SpaceflightInc,,6,0.002303,0,0,0,0,13,0,13
364,SpaceSpox,,0,0.000188,0,0,0,0,2,0,2
365,ZeroRobotics,,1,0.00019,0,0,0,0,6,0,6
366,CAgovernor,,1,0.000188,0,0,0,0,3,0,3
367,newsycombinator,,1,0.000188,0,0,0,0,2,0,2
368,CanadianGISgirl,,0,0.000188,0,0,0,0,2,0,2
369,opengeospatial,,0,0.000188,0,0,0,0,3,0,3
370,CanadianGIS,,7,0.000188,0,0,0,0,3,0,3
371,spacejammie,,1,0.000189,0,0,0,0,3,0,3
372,JosephGruber,,6,0.000188,0,0,0,0,3,0,3
373,geolsoc,,4,0.000189,0,0,0,0,2,0,2
374,DannoCarp,,1,0.000188,0,0,0,0,2,0,2
375,elsisrad,,0,0.00019,0,0,0,0,2,0,2
376,nbatalha,,1,0.000188,0,0,0,0,2,0,2
377,NASAAmesAcademy,,1,0.000188,0,0,0,0,3,0,3
378,MaxCRoser,,2,0.000188,0,0,0,0,2,0,2
379,AnaSwanson,,2,0.000188,0,0,0,0,2,0,2
380,poezn,,7,0.000188,0,0,0,0,2,0,2
381,googleearth,,0,0.000188,0,0,0,0,2,0,2
382,ajturner,,0,0.000188,0,0,0,0,2,0,2
383,NVR_Ruimtevaart,,3,0.000188,0,0,0,0,3,0,3
384,sharon000,,7,0.000188,0,0,0,0,3,0,3
385,donboyes,,0,0.000188,0,0,0,0,2,0,2
386,esricanada,,0,0.000188,0,0,0,0,2,0,2
387,NL_Space,,0,0.000188,0,0,0,0,3,0,3
388,madscienceskill,,1,0.000188,0,0,0,0,2,0,2
389,kscottz,,0,0.000188,0,0,0,0,2,0,2
390,astrogeo,,0,0.000188,0,0,0,0,2,0,2
391,SithWitchHux,,5,0.000189,0,0,0,0,3,0,3
392,SatNewsEvents,,3,0.000189,0,0,0,0,6,0,6
393,romn8tr,,1,0.000188,0,0,0,0,3,0,3
394,vrooje,,1,0.000188,0,0,0,0,2,0,2
395,mactavish,,1,0.000188,0,0,0,0,2,0,2
396,BteBrake,,0,0.000188,0,0,0,0,2,0,2
397,BritGeoSurvey,,0,0.000188,0,0,0,0,2,0,2
398,Amazing_Maps,,2,0.000189,0,0,0,0,3,0,3
399,BarryDefense,,0,0.000188,0,0,0,0,2,0,2
400,USGIF,,6,0.000189,0,0,0,0,5,0,5
401,Astro_Jeff,,4,0.002437,0,0,0,0,17,0,17
402,ScienceandSpace,,0,0.000188,0,0,0,0,2,0,2
