Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering
1207,JJackKennedyJr,,3,0.000189,0,0,0,0,3,0,3,0.333333
1208,Suborbi_Science,,3,0.000189,0,0,0,0,5,0,5,0.55
1209,RussianSpaceWeb,,0,0.000191,0,0,0,0,8,0,8,0.464286
1210,JamesMuncy,,3,0.000191,0,0,0,0,7,0,7,0.452381
1211,dvergano,,1,0.00019,0,0,0,0,6,0,6,0.266667
1212,WomeninAero,,6,0.002271,0,0,0,0,14,0,14,0.456044
1213,RunwayGirl,,1,0.000191,0,0,0,0,8,0,8,0.392857
1214,Svitak_SN,,1,0.00019,0,0,0,0,8,0,8,0.392857
1215,fersterx,,1,0.000189,0,0,0,0,3,0,3,0.333333
1216,MoonEx,,4,0.002247,0,0,0,0,11,0,11,0.463636
1217,denisechow,,1,0.000188,0,0,0,0,3,0,3,0.5
1218,rpournelle,,3,0.000189,0,0,0,0,4,0,4,0.833333
1219,Launiusr,,3,0.000188,0,0,0,0,2,0,2,1
1220,toddhalvorson,,1,0.000189,0,0,0,0,3,0,3,0.333333
1221,ClaraMoskowitz,,0,0.000191,0,0,0,0,10,0,10,0.511111
1222,SpaceVision2011,,1,0.000188,0,0,0,0,2,0,2,0
1223,ChallengerCtr,,4,0.000192,0,0,0,0,9,0,9,0.444444
1224,ZachInFlight,,1,0.000189,0,0,0,0,3,0,3,0.333333
1225,excaliburalmaz,,3,0.000189,0,0,0,0,3,0,3,0.5
1226,RocketRick,,5,0.00019,0,0,0,0,6,0,6,0.433333
1227,MichaelDWall,,3,0.00019,0,0,0,0,5,0,5,0.3
1228,xprize,,1,0.000191,0,0,0,0,10,0,10,0.5
1229,AstroKDS,,4,0.000191,0,0,0,0,4,0,4,0.416667
1230,andrewchaikin,,1,0.000189,0,0,0,0,3,0,3,0.333333
1231,collectSPACE,,1,0.000191,0,0,0,0,9,0,9,0.513889
1232,TheNASTARCenter,,3,0.000189,0,0,0,0,3,0,3,0.666667
1233,wikkit,,1,0.00019,0,0,0,0,5,0,5,0.4
1234,ScienceDaily,,1,0.000189,0,0,0,0,5,0,5,0.1
1235,NASAWatch,,0,0.002379,0,0,0,0,22,0,22,0.357143
1236,HobbySpacer,,3,0.00019,0,0,0,0,6,0,6,0.3
1237,eSpaceCenter,,1,0.000188,0,0,0,0,2,0,2,0
1238,The_Stargazer,,1,0.000189,0,0,0,0,5,0,5,0.65
1239,BrettSilcox,,1,0.000188,0,0,0,0,3,0,3,0
1240,SpaceCoalition,,3,0.000189,0,0,0,0,5,0,5,0.4
1241,SenBillNelson,,6,0.000191,0,0,0,0,7,0,7,0.5
1242,RaytheonTech,,1,0.002272,0,0,0,0,13,0,13,0.365385
1243,edyson,,1,0.00019,0,0,0,0,5,0,5,0.5
1244,evadot,,1,0.000188,0,0,0,0,3,0,3,0.5
1245,ID_AA_Carmack,,2,0.000196,0,0,0,0,7,0,7,0.428571
1246,ArmadilloGadget,,1,0.000188,0,0,0,0,3,0,3,0.5
1247,joe_landon,,3,0.00019,0,0,0,0,6,0,6,0.333333
1248,ec_anderson,,1,0.000189,0,0,0,0,4,0,4,0.5
1249,ThisWeekinSpace,,1,0.000189,0,0,0,0,4,0,4,0.416667
1250,TEDTalks,,6,0.002327,0,0,0,0,15,0,15,0.319048
1251,DiggScience,,4,0.000192,0,0,0,0,7,0,7,0.380952
1252,WHOSTP44,,6,0.002508,0,0,0,0,17,0,17,0.319853
1253,carlzimmer,,1,0.000189,0,0,0,0,3,0,3,0.166667
1254,UniGalactic,,1,0.000188,0,0,0,0,2,0,2,0
1255,astrospacenow,,4,0.000191,0,0,0,0,7,0,7,0.452381
1256,GoZeroG,,2,0.00019,0,0,0,0,6,0,6,0.6
1257,Fabric_of_Space,,0,0.002288,0,0,0,0,13,0,13,0.544872
1258,rcourt,,1,0.000188,0,0,0,0,2,0,2,0
1259,Marscryovolc,,1,0.000188,0,0,0,0,2,0,2,0
1260,foundonmars,,1,0.000189,0,0,0,0,3,0,3,0.333333
1261,DatenRATTE,,1,0.000188,0,0,0,0,2,0,2,0
1262,ewferg,,1,0.000188,0,0,0,0,2,0,2,0
1263,planetaryjim,,1,0.000188,0,0,0,0,2,0,2,0
1264,DKLowther,,1,0.000188,0,0,0,0,2,0,2,0
1265,Rob_Bowman,,1,0.000188,0,0,0,0,2,0,2,0
1266,acworkma,,1,0.000188,0,0,0,0,2,0,2,0
1267,mattcannella,,1,0.000188,0,0,0,0,2,0,2,0
1268,AwakenFool,,1,0.000188,0,0,0,0,2,0,2,0
1269,NebojsaSynergy,,1,0.000188,0,0,0,0,2,0,2,0
1270,jerry_wright,,1,0.000188,0,0,0,0,2,0,2,0
1271,RF2Space,,4,0.000191,0,0,0,0,5,0,5,0.5
1272,ErikEvenson,,1,0.000188,0,0,0,0,2,0,2,0
1273,i_Leslie,,1,0.000189,0,0,0,0,4,0,4,0.416667
1274,LaunchPhoto,,5,0.000192,0,0,0,0,10,0,10,0.377778
1275,marcia_h,,1,0.000188,0,0,0,0,2,0,2,0.5
1276,gliovampire,,1,0.000188,0,0,0,0,2,0,2,0
1277,Murphian,,1,0.000189,0,0,0,0,3,0,3,0.333333
1278,ScienceChicago,,1,0.000188,0,0,0,0,2,0,2,0
1279,rsisk101,,1,0.000188,0,0,0,0,2,0,2,0
1280,tomludwicki,,1,0.000188,0,0,0,0,2,0,2,0
1281,jnosanov,,1,0.000188,0,0,0,0,2,0,2,0
1282,SpaceTweeps,,4,0.002247,0,0,0,0,11,0,11,0.563636
1283,liveonmars,,1,0.000188,0,0,0,0,2,0,2,0
1284,marymakowski,,1,0.000188,0,0,0,0,2,0,2,0
1285,spaceartist,,1,0.000188,0,0,0,0,2,0,2,0.5
1286,HistoryMuseum,,1,0.000188,0,0,0,0,2,0,2,0.5
1287,scienceview,,1,0.000188,0,0,0,0,2,0,2,0.5
1288,Brooksview,,4,0.000189,0,0,0,0,2,0,2,0
1289,AZChallenger,,4,0.00019,0,0,0,0,6,0,6,0.6
1290,PLANE_talking,,1,0.000189,0,0,0,0,3,0,3,0
1291,space_cadets,,1,0.000189,0,0,0,0,3,0,3,0.333333
1292,skiermdd,,1,0.000188,0,0,0,0,2,0,2,0
1293,Time4theStars,,1,0.000189,0,0,0,0,3,0,3,0.333333
1294,rogerhw,,1,0.000189,0,0,0,0,4,0,4,0.416667
1295,spacegirly,,1,0.000188,0,0,0,0,2,0,2,0.5
1296,flightnav,,1,0.000188,0,0,0,0,2,0,2,0
1297,ColeThorton,,1,0.000188,0,0,0,0,2,0,2,0
1298,GOTHAM1963,,1,0.000188,0,0,0,0,2,0,2,0
1299,WIAstronomy,,1,0.000189,0,0,0,0,3,0,3,0.333333
1300,jeremyzilar,,1,0.000188,0,0,0,0,2,0,2,0
1301,AndrewWaldrum,,1,0.000188,0,0,0,0,2,0,2,0
1302,KeithCowing,,3,0.00019,0,0,0,0,6,0,6,0.5
1303,LunarPioneer,,1,0.00019,0,0,0,0,5,0,5,0.2
1304,StaffordMuseum,,1,0.000189,0,0,0,0,3,0,3,0.166667
1305,lecosmographe,,1,0.000188,0,0,0,0,2,0,2,0.5
1306,Bob_Richards,,1,0.002278,0,0,0,0,14,0,14,0.5
1307,smartmoney523,,1,0.000188,0,0,0,0,2,0,2,0
1308,ApplePie55555,,1,0.000188,0,0,0,0,2,0,2,0
1309,rprokic,,1,0.000188,0,0,0,0,2,0,2,0
1310,EVA_Exploring,,1,0.000189,0,0,0,0,4,0,4,0.416667
1311,KJansky,,1,0.000188,0,0,0,0,2,0,2,0
1312,bhogge,,1,0.000188,0,0,0,0,2,0,2,0
1313,tarotcards,,1,0.000188,0,0,0,0,2,0,2,0
1314,velvet250ml,,1,0.000188,0,0,0,0,2,0,2,0
1315,AstroBebop,,1,0.000188,0,0,0,0,2,0,2,0
1316,spaceordie,,1,0.000189,0,0,0,0,3,0,3,0.333333
1317,RoboRocketry,,1,0.000188,0,0,0,0,2,0,2,0
1318,adcunningham,,1,0.00019,0,0,0,0,5,0,5,0.25
1319,daniel_kraft,,1,0.000188,0,0,0,0,2,0,2,0.5
1320,rhpueschner,,1,0.000188,0,0,0,0,2,0,2,0
1321,Billy_Graham,,1,0.000188,0,0,0,0,2,0,2,0
1322,U2SPACE,,1,0.000188,0,0,0,0,2,0,2,0
1323,kreegan99,,1,0.000188,0,0,0,0,2,0,2,0
1324,pavel_sharov,,1,0.000188,0,0,0,0,2,0,2,0
1325,nasafreak,,1,0.000188,0,0,0,0,2,0,2,0
1326,raylougrif,,1,0.000188,0,0,0,0,2,0,2,0
1327,nicolaaerospace,,1,0.000188,0,0,0,0,3,0,3,0.333333
1328,icarusfactor,,1,0.000188,0,0,0,0,2,0,2,0
1329,thedenial,,1,0.000188,0,0,0,0,2,0,2,0
1330,grepmaster,,1,0.000188,0,0,0,0,2,0,2,0
1331,tornQuad,,1,0.000188,0,0,0,0,2,0,2,0.5
1332,mkyschnitzel,,1,0.000188,0,0,0,0,2,0,2,0
1333,CarolineMueller,,1,0.000188,0,0,0,0,2,0,2,0
1334,ChrisSpagnuolo,,1,0.000188,0,0,0,0,2,0,2,0
1335,AlphistsClub,,1,0.000188,0,0,0,0,2,0,2,0
1336,onedrop,,2,0.00019,0,0,0,0,4,0,4,0.25
1337,neuralink,,2,0.000225,0,0,0,0,4,0,4,0.333333
1338,RDAnglePhoto,,2,0.000195,0,0,0,0,3,0,3,0
1339,AlteredJamie,,2,0.000193,0,0,0,0,3,0,3,0
1340,BocaChicaGal,,2,0.000194,0,0,0,0,3,0,3,0
1341,PrincessDeixa,,2,0.000193,0,0,0,0,2,0,2,0
1342,teslainventory,,2,0.000193,0,0,0,0,2,0,2,0
1343,w00ki33,,2,0.000193,0,0,0,0,3,0,3,0.166667
1344,13ericralph31,,2,0.000193,0,0,0,0,3,0,3,0.5
1345,_TomCross_,,2,0.000194,0,0,0,0,3,0,3,0
1346,woodhaus2,,2,0.000198,0,0,0,0,3,0,3,0.5
1347,BenSullins,,2,0.000193,0,0,0,0,2,0,2,0
1348,EdLoh,,2,0.000198,0,0,0,0,2,0,2,1
1349,Model3Owners,,2,0.000193,0,0,0,0,2,0,2,0
1350,OpenAI,,2,0.000204,0,0,0,0,5,0,5,0.7
1351,tsrandall,,2,0.000198,0,0,0,0,2,0,2,1
1352,ElectricJen,,2,0.000198,0,0,0,0,2,0,2,1
1353,johnrampton,,2,0.000192,0,0,0,0,2,0,2,0
1354,DMC_Ryan,,2,0.000198,0,0,0,0,3,0,3,0.5
1355,ToscaMusk,,2,0.000197,0,0,0,0,2,0,2,1
1356,westcoastbill,,2,0.000203,0,0,0,0,4,0,4,0.833333
1357,mayemusk,,2,0.000198,0,0,0,0,3,0,3,0.666667
1358,MKBHD,,2,0.000205,0,0,0,0,6,0,6,0.5
1359,LeilaniMunter,,2,0.0002,0,0,0,0,5,0,5,0.35
1360,kimbal,,2,0.000194,0,0,0,0,4,0,4,0.166667
1361,Variety,,2,0.000196,0,0,0,0,6,0,6,0.066667
1362,TeslaRoadTrip,,2,0.000203,0,0,0,0,3,0,3,1
1363,WorldSpaceWeek,,0,0.002232,0,0,0,0,11,0,11,0.490909
1364,ITU_DSG,,7,0.000188,0,0,0,0,2,0,2,0.5
1365,UCLAengineering,,7,0.000188,0,0,0,0,2,0,2,0.5
1366,BoeingSpace,,4,0.002613,0,0,0,0,29,0,29,0.399015
1367,ViasatGov,,7,0.000188,0,0,0,0,2,0,2,0
1368,KenAPeterman,,7,0.000188,0,0,0,0,2,0,2,0
1369,NasdaqTech,,7,0.000188,0,0,0,0,2,0,2,0
1370,Nasdaq,,3,0.000189,0,0,0,0,5,0,5,0.5
1371,DougonIPComm,,7,0.00019,0,0,0,0,6,0,6,0.6
1372,SenateCommerce,,3,0.000188,0,0,0,0,3,0,3,0.5
1373,johnbenac,,1,0.000188,0,0,0,0,3,0,3,0.166667
1374,NicFildes,,7,0.000188,0,0,0,0,3,0,3,1
1375,theNAEng,,1,0.000188,0,0,0,0,3,0,3,0.166667
1376,ChamussyN,,7,0.000189,0,0,0,0,2,0,2,1
1377,chrismessina,,1,0.000188,0,0,0,0,2,0,2,0
1378,ADSEexpo,,7,0.000188,0,0,0,0,2,0,2,0
1379,thephysicsgirl,,1,0.00019,0,0,0,0,7,0,7,0.428571
1380,TwitterSupport,,2,0.000191,0,0,0,0,6,0,6,0.266667
1381,STEMsolutions,,1,0.000188,0,0,0,0,2,0,2,0.5
1382,HowardSlutsken,,7,0.000188,0,0,0,0,3,0,3,1
1383,defaeroreport,,6,0.000188,0,0,0,0,3,0,3,0.333333
1384,lopezjenniferw,,1,0.000188,0,0,0,0,2,0,2,0.5
1385,M_Ladovaz,,7,0.000188,0,0,0,0,2,0,2,0.5
1386,cheetham,,3,0.000188,0,0,0,0,2,0,2,0
1387,USChamber,,3,0.000189,0,0,0,0,4,0,4,0.416667
1388,AIAspeaks,,4,0.00223,0,0,0,0,11,0,11,0.536364
1389,superhoil,,7,0.000188,0,0,0,0,2,0,2,1
1390,VUMCchildren,,1,0.000188,0,0,0,0,2,0,2,0
1391,SITAONAIR,,7,0.000189,0,0,0,0,4,0,4,0.666667
1392,ukspaceconf,,0,0.000189,0,0,0,0,5,0,5,0.65
1393,Ruypinto,,7,0.000188,0,0,0,0,3,0,3,1
1394,sindividuals,,7,0.000188,0,0,0,0,2,0,2,0
1395,BradleyAPerkins,,3,0.000188,0,0,0,0,2,0,2,0
1396,mdwarner,,7,0.000188,0,0,0,0,2,0,2,0.5
1397,dlxinorbit,,7,0.000188,0,0,0,0,2,0,2,1
1398,Kenyanspace,,7,0.000188,0,0,0,0,2,0,2,0.5
1399,BibopGGresta,,5,0.000193,0,0,0,0,3,0,3,0
1400,VanessaO_Connor,,7,0.000188,0,0,0,0,2,0,2,1
1401,SpaceflightIns,,3,0.002247,0,0,0,0,13,0,13,0.371795
1402,els_eba,,7,0.000188,0,0,0,0,2,0,2,1
1403,CASInstitute,,0,0.000188,0,0,0,0,4,0,4,0.416667
1404,Globalsat_Group,,7,0.000189,0,0,0,0,3,0,3,0.5
1405,SatlinkSL,,7,0.000189,0,0,0,0,4,0,4,0.75
1406,Space_Tele,,7,0.000188,0,0,0,0,2,0,2,1
1407,collision,,2,0.000188,0,0,0,0,2,0,2,0
1408,satellesinc,,7,0.000189,0,0,0,0,3,0,3,0.5
1409,joepleader,,7,0.000188,0,0,0,0,2,0,2,0.5
1410,MandyCassells,,7,0.000188,0,0,0,0,2,0,2,1
1411,SpaceWatchGL,,7,0.000189,0,0,0,0,2,0,2,0
1412,AvLTechnologies,,7,0.000188,0,0,0,0,2,0,2,0.5
1413,MCASMiramarCA,,6,0.000189,0,0,0,0,3,0,3,0.666667
1414,GSC_AbuDhabi,,3,0.000188,0,0,0,0,3,0,3,0.333333
1415,rocksevenmobile,,7,0.000189,0,0,0,0,3,0,3,0.5
1416,willneuco,,7,0.000188,0,0,0,0,2,0,2,1
1417,UCLAtech,,1,0.000188,0,0,0,0,2,0,2,0
1418,salkinstitute,,1,0.000188,0,0,0,0,3,0,3,0.166667
1419,ghc,,7,0.000191,0,0,0,0,2,0,2,0
1420,ryan_a_bell,,4,0.000188,0,0,0,0,2,0,2,0
1421,ImaneOuakrim,,7,0.000189,0,0,0,0,2,0,2,1
1422,InfoSecHotSpot,,7,0.000188,0,0,0,0,2,0,2,0.5
1423,KerstinRoost,,7,0.000192,0,0,0,0,5,0,5,0.5
1424,Pacome_Revillon,,7,0.000188,0,0,0,0,2,0,2,0
1425,kongsbergasa,,0,0.000188,0,0,0,0,2,0,2,0
1426,WSBW_Summit,,7,0.000192,0,0,0,0,7,0,7,0.5
1427,EnduroSat,,7,0.000188,0,0,0,0,2,0,2,0
1428,VisitCA,,1,0.000188,0,0,0,0,2,0,2,0
1429,JenniferMeacher,,7,0.000189,0,0,0,0,4,0,4,0.333333
1430,virginia_tech,,0,0.000188,0,0,0,0,2,0,2,0
1431,shiralazar,,2,0.000188,0,0,0,0,2,0,2,0
1432,RCAF_ARC,,0,0.000188,0,0,0,0,4,0,4,0.25
1433,CanadianArmy,,7,0.000188,0,0,0,0,2,0,2,0
1434,CanadianForces,,0,0.000188,0,0,0,0,3,0,3,0.333333
1435,TechNative,,7,0.000188,0,0,0,0,2,0,2,0
1436,BVCurcio,,7,0.00019,0,0,0,0,4,0,4,0.583333
1437,MPScaturro,,7,0.000188,0,0,0,0,2,0,2,0.5
1438,Finnair,,7,0.000188,0,0,0,0,2,0,2,0.5
1439,GirlsWhoCode,,2,0.00019,0,0,0,0,5,0,5,0.45
1440,BentleyWalker,,7,0.000189,0,0,0,0,2,0,2,1
1441,phocuswire,,7,0.000188,0,0,0,0,2,0,2,0.5
1442,johnibloom,,7,0.000189,0,0,0,0,4,0,4,0.666667
1443,UnmannedSystem,,7,0.000188,0,0,0,0,2,0,2,0.5
1444,NetworkINV,,7,0.000191,0,0,0,0,7,0,7,0.452381
1445,ISU_SSP,,0,0.000189,0,0,0,0,5,0,5,0.55
1446,RunwayGirlBecca,,7,0.000188,0,0,0,0,3,0,3,0.833333
1447,Charlene_J_King,,7,0.000189,0,0,0,0,4,0,4,0.583333
1448,gigastacey,,7,0.000188,0,0,0,0,2,0,2,0
1449,garywfuller,,7,0.000188,0,0,0,0,2,0,2,1
1450,AirMobilityCmd,,6,0.000195,0,0,0,0,10,0,10,0.711111
1451,TravelLeisure,,1,0.000188,0,0,0,0,2,0,2,0
1452,SiliconGB,,7,0.000188,0,0,0,0,2,0,2,1
1453,PFMouriaux,,7,0.000189,0,0,0,0,3,0,3,0.833333
1454,rogerjfranklin,,7,0.000188,0,0,0,0,3,0,3,1
1455,iDirect,,7,0.000191,0,0,0,0,6,0,6,0.533333
1456,CommunicIndo,,7,0.000189,0,0,0,0,2,0,2,0
1457,ksujib,,7,0.000188,0,0,0,0,2,0,2,1
1458,kckroll,,7,0.000188,0,0,0,0,2,0,2,0.5
1459,EconomyBeyond,,7,0.000188,0,0,0,0,2,0,2,0.5
1460,Talia_Ltd,,7,0.00019,0,0,0,0,2,0,2,0
1461,europasatbb,,7,0.000191,0,0,0,0,5,0,5,0.45
1462,stonefiregrill,,2,0.000189,0,0,0,0,2,0,2,0
1463,DubaiAirshow,,7,0.000188,0,0,0,0,2,0,2,0.5
1464,d_w_bliss,,7,0.000188,0,0,0,0,2,0,2,0.5
1465,VSATEventSeries,,7,0.000191,0,0,0,0,5,0,5,0.5
1466,military_cots,,7,0.000188,0,0,0,0,2,0,2,0.5
1467,JRosenworcel,,7,0.000188,0,0,0,0,3,0,3,0.166667
1468,AjitPaiFCC,,7,0.000189,0,0,0,0,6,0,6,0.4
1469,mikeofcc,,7,0.000188,0,0,0,0,2,0,2,0
1470,MignonClyburn,,2,0.000189,0,0,0,0,2,0,2,0
1471,TomWheelerFCC,,7,0.000188,0,0,0,0,2,0,2,0
1472,Dassault_OnAir,,0,0.000188,0,0,0,0,3,0,3,0.333333
1473,Reve_dIcare,,7,0.000188,0,0,0,0,2,0,2,0.5
1474,ERZIAItalia,,7,0.000188,0,0,0,0,2,0,2,0.5
1475,briankrebs,,7,0.000189,0,0,0,0,5,0,5,0.5
1476,SDAspacedata,,7,0.000191,0,0,0,0,7,0,7,0.47619
1477,AviationNewsTV,,7,0.000188,0,0,0,0,4,0,4,0.75
1478,CutterAviation,,7,0.000188,0,0,0,0,2,0,2,0.5
1479,AviationNetwork,,7,0.000188,0,0,0,0,3,0,3,0.333333
1480,AviationTimes,,7,0.000188,0,0,0,0,4,0,4,0.666667
1481,SatcomPost,,7,0.000188,0,0,0,0,3,0,3,0.5
1482,Den_is_Social,,7,0.000188,0,0,0,0,3,0,3,0.833333
1483,p_harper,,7,0.000188,0,0,0,0,2,0,2,0.5
1484,PopMech,,0,0.00228,0,0,0,0,13,0,13,0.358974
1485,cnnbrk,,6,0.00236,0,0,0,0,16,0,16,0.25
1486,UpsideTravel,,2,0.000188,0,0,0,0,2,0,2,0
1487,KratosDefense,,7,0.000192,0,0,0,0,5,0,5,0.35
1488,ESABICNoordwijk,,0,0.000188,0,0,0,0,3,0,3,0.5
1489,KimberliHull,,1,0.000188,0,0,0,0,2,0,2,0
1490,spaceoneers,,0,0.000188,0,0,0,0,3,0,3,0.5
1491,rjmlaird,,7,0.000188,0,0,0,0,2,0,2,0
1492,FutureOf4ever,,1,0.000188,0,0,0,0,2,0,2,0
1493,chrisaols,,7,0.000188,0,0,0,0,2,0,2,1
1494,Airforce_Tech,,6,0.000189,0,0,0,0,3,0,3,0.333333
1495,MikeDiBiaseCPI,,7,0.000188,0,0,0,0,2,0,2,1
1496,NationalDefence,,0,0.000188,0,0,0,0,3,0,3,0.333333
1497,DassaultFalcon,,7,0.000188,0,0,0,0,2,0,2,0.5
1498,CadsiCanada,,7,0.000188,0,0,0,0,2,0,2,0
1499,ExecutiveGov,,7,0.000188,0,0,0,0,2,0,2,0.5
1500,firstlegoleague,,1,0.000188,0,0,0,0,3,0,3,0.333333
1501,SatNewsMedia,,7,0.00228,0,0,0,0,13,0,13,0.429487
1502,francesca_fdf,,7,0.000188,0,0,0,0,3,0,3,1
1503,TamaraMcCleary,,7,0.000188,0,0,0,0,2,0,2,0
1504,IdeaGov,,7,0.000188,0,0,0,0,2,0,2,0.5
1505,TheDigitalShip,,7,0.000189,0,0,0,0,5,0,5,0.65
1506,DanielThomasLDN,,7,0.000188,0,0,0,0,2,0,2,0.5
1507,gvf4satellite,,7,0.000196,0,0,0,0,10,0,10,0.333333
1508,veglison,,7,0.00019,0,0,0,0,2,0,2,0
1509,PROMAX_news,,7,0.000189,0,0,0,0,2,0,2,0
1510,e2Euk,,7,0.000188,0,0,0,0,2,0,2,0.5
1511,ToowayInstal_EN,,7,0.000189,0,0,0,0,2,0,2,1
1512,NSRGrady,,7,0.000188,0,0,0,0,3,0,3,1
1513,pbasu_space,,7,0.000188,0,0,0,0,2,0,2,1
1514,DocRKimble,,7,0.000188,0,0,0,0,2,0,2,1
1515,twobirdstech,,7,0.000188,0,0,0,0,2,0,2,0.5
1516,SecAF23,,6,0.000192,0,0,0,0,4,0,4,0.5
1517,orbitalsatcom,,7,0.000188,0,0,0,0,2,0,2,0.5
1518,globaltelesatuk,,7,0.000188,0,0,0,0,3,0,3,0.333333
1519,massimoc_square,,7,0.000188,0,0,0,0,3,0,3,0.5
1520,BlackGirlGeeks,,7,0.000191,0,0,0,0,2,0,2,0
1521,Effective_Space,,7,0.000189,0,0,0,0,3,0,3,0.166667
1522,HansieGel,,7,0.000188,0,0,0,0,2,0,2,1
1523,EdisonGroupInc,,3,0.000188,0,0,0,0,2,0,2,0
1524,NSRKasaboski,,7,0.00019,0,0,0,0,2,0,2,0
1525,apsccsatellite,,7,0.000189,0,0,0,0,4,0,4,0.833333
1526,daveowers,,7,0.00019,0,0,0,0,4,0,4,0.333333
1527,AirlineReporter,,1,0.000188,0,0,0,0,4,0,4,0.416667
1528,merv,,7,0.000188,0,0,0,0,2,0,2,0
1529,LinkedIn,,6,0.000189,0,0,0,0,3,0,3,0.666667
1530,satelliteindust,,7,0.000188,0,0,0,0,3,0,3,1
1531,Channel_Expo,,7,0.000188,0,0,0,0,2,0,2,0
1532,y00st,,7,0.000188,0,0,0,0,2,0,2,1
1533,Channel_Online,,7,0.000188,0,0,0,0,2,0,2,0
1534,StefanBarensky,,0,0.00019,0,0,0,0,5,0,5,0.75
1535,tesacomnet,,7,0.000188,0,0,0,0,3,0,3,0.333333
1536,SHeirbrant,,7,0.000188,0,0,0,0,2,0,2,1
1537,steviecSES,,7,0.000189,0,0,0,0,5,0,5,0.7
1538,MSUAorg,,7,0.000191,0,0,0,0,6,0,6,0.3
1539,KristalFelea,,7,0.000188,0,0,0,0,2,0,2,0
1540,GonzoTorpedo,,5,0.000188,0,0,0,0,2,0,2,0
1541,TMFAssociates,,7,0.000192,0,0,0,0,9,0,9,0.555556
1542,techforspace,,7,0.000189,0,0,0,0,3,0,3,0
1543,sander_boom,,7,0.000188,0,0,0,0,2,0,2,1
1544,78jcv78,,7,0.000188,0,0,0,0,2,0,2,0.5
1545,salva_gomis,,7,0.00019,0,0,0,0,3,0,3,0.666667
1546,NewSpaceIndia,,7,0.000189,0,0,0,0,3,0,3,0.5
1547,furqan_satcom,,7,0.000189,0,0,0,0,2,0,2,0
1548,NREL,,7,0.000188,0,0,0,0,2,0,2,0.5
1549,MissionC2,,3,0.000188,0,0,0,0,2,0,2,0
1550,Acorde_Tech,,7,0.00019,0,0,0,0,2,0,2,0
1551,wingod,,1,0.000189,0,0,0,0,4,0,4,0.416667
1552,VerizonBusiness,,7,0.000188,0,0,0,0,2,0,2,0
1553,larrykim,,7,0.000188,0,0,0,0,2,0,2,1
1554,iSat_LTD,,7,0.000192,0,0,0,0,7,0,7,0.238095
1555,EutelsatBB,,7,0.000189,0,0,0,0,2,0,2,1
1556,RESOLUTEnet,,7,0.000188,0,0,0,0,2,0,2,1
1557,RocketnipponNet,,1,0.000188,0,0,0,0,2,0,2,0
1558,vikramrchari,,7,0.000188,0,0,0,0,4,0,4,0.75
1559,clbbelle,,7,0.000191,0,0,0,0,5,0,5,0.65
1560,H2020_SCREEN,,0,0.000188,0,0,0,0,2,0,2,0
1561,RiceUniversity,,7,0.000188,0,0,0,0,3,0,3,0.333333
1562,Infocast_Tech,,6,0.000188,0,0,0,0,2,0,2,0
1563,SolveMIT,,7,0.000188,0,0,0,0,2,0,2,0.5
1564,AASANIA_Inc,,7,0.000189,0,0,0,0,2,0,2,0
1565,RepJBridenstine,,3,0.000188,0,0,0,0,3,0,3,0.333333
1566,geosworldwide,,7,0.000188,0,0,0,0,2,0,2,0.5
1567,TAMUEngineering,,2,0.000193,0,0,0,0,3,0,3,0.166667
1568,innovateuk,,7,0.000188,0,0,0,0,2,0,2,0
1569,DanAndregueto,,7,0.000188,0,0,0,0,2,0,2,1
1570,scurtsy,,7,0.000188,0,0,0,0,2,0,2,0.5
1571,CONNECTinSD,,1,0.000188,0,0,0,0,2,0,2,0.5
1572,JamesFallows,,7,0.000188,0,0,0,0,2,0,2,0
1573,FIRSTweets,,4,0.00019,0,0,0,0,4,0,4,0.5
1574,RoboWeek,,7,0.000188,0,0,0,0,2,0,2,0.5
1575,AvCommSatellite,,7,0.000189,0,0,0,0,3,0,3,0.333333
1576,ThorGroup_Ch,,7,0.000189,0,0,0,0,2,0,2,0
1577,ASTSystems,,7,0.000189,0,0,0,0,4,0,4,0.416667
1578,GBF_MEDIA,,7,0.000189,0,0,0,0,3,0,3,0.333333
1579,CES,,7,0.000188,0,0,0,0,2,0,2,0
1580,rfeierbach,,7,0.000188,0,0,0,0,2,0,2,0
1581,GATR_Antenna,,6,0.000188,0,0,0,0,2,0,2,0
1582,inflightfox,,7,0.000188,0,0,0,0,2,0,2,0.5
1583,SpaceCraigUK,,7,0.000189,0,0,0,0,3,0,3,0.666667
1584,LauraCrucial,,7,0.000189,0,0,0,0,4,0,4,0.5
1585,ViasatAviation,,7,0.000188,0,0,0,0,2,0,2,0.5
1586,AlanGottlieb2,,7,0.000189,0,0,0,0,3,0,3,0.666667
1587,TKriening,,7,0.000189,0,0,0,0,3,0,3,0.333333
1588,CobhamSATCOM,,7,0.000189,0,0,0,0,4,0,4,0.666667
1589,JLackey2,,7,0.000188,0,0,0,0,2,0,2,0.5
1590,ThomasRCutler,,7,0.000188,0,0,0,0,2,0,2,0
1591,mySpacecraft,,7,0.000188,0,0,0,0,2,0,2,0
1592,rogerhamilton,,1,0.000188,0,0,0,0,2,0,2,0
1593,SpaceNewsfeed,,3,0.000189,0,0,0,0,4,0,4,0.583333
