Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering
4028,digg_science,,4,0.00019,0,0,0,0,5,0,5,0.55
4029,IronAmmonitePix,,1,0.000188,0,0,0,0,2,0,2,0
4030,earthinstitute,,1,0.000188,0,0,0,0,2,0,2,0
4031,earthhour,,7,0.000188,0,0,0,0,3,0,3,0.5
4032,BoingBoing,,4,0.000191,0,0,0,0,5,0,5,0.5
4033,SYFYWIRE,,2,0.00019,0,0,0,0,2,0,2,0
4034,nextbigfuture,,7,0.000188,0,0,0,0,2,0,2,0
4035,SmartPlanet,,5,0.00019,0,0,0,0,2,0,2,0
4036,HistoryNavyNews,,6,0.00019,0,0,0,0,5,0,5,0.55
4037,USMarineCorps,,6,0.00019,0,0,0,0,4,0,4,0.583333
4038,SafeBoatCouncil,,6,0.000189,0,0,0,0,2,0,2,0.5
4039,BiometricsTech,,7,0.000188,0,0,0,0,2,0,2,0
4040,NewsSpazio,,1,0.000188,0,0,0,0,2,0,2,0
4041,ProfBrianCox,,2,0.002473,0,0,0,0,11,0,11,0.518182
4042,SouthwestAir,,3,0.000188,0,0,0,0,2,0,2,0
4043,travelocity,,1,0.000188,0,0,0,0,3,0,3,0.333333
4044,USCGAuxVin,,6,0.000188,0,0,0,0,2,0,2,0
4045,aeroG,,7,0.000188,0,0,0,0,2,0,2,1
4046,UCSBengineering,,2,0.000193,0,0,0,0,2,0,2,0
4047,PurdueAeroAstro,,3,0.000193,0,0,0,0,2,0,2,0
4048,LifeAtPurdue,,1,0.000196,0,0,0,0,3,0,3,0.333333
4049,March_ARB,,6,0.000189,0,0,0,0,2,0,2,1
4050,PilotB2,,6,0.000189,0,0,0,0,2,0,2,1
4051,WritingGopher,,1,0.000188,0,0,0,0,3,0,3,0.5
4052,TeachersInSpace,,6,0.000188,0,0,0,0,2,0,2,0
4053,NextGiantLeap,,1,0.000189,0,0,0,0,2,0,2,0
4054,The_SolarSystem,,6,0.000188,0,0,0,0,2,0,2,0
4055,AFEnergy,,6,0.00019,0,0,0,0,4,0,4,1
4056,Pat_Host,,3,0.000189,0,0,0,0,4,0,4,0.75
4057,SandiaLabs,,6,0.00019,0,0,0,0,6,0,6,0.633333
4058,BlueStarFamily,,6,0.000189,0,0,0,0,2,0,2,1
4059,TRICARE,,6,0.00019,0,0,0,0,4,0,4,0.833333
4060,USNatArchives,,6,0.000193,0,0,0,0,4,0,4,0.5
4061,Military1Source,,6,0.000191,0,0,0,0,6,0,6,0.766667
4062,YourCommissary,,6,0.000189,0,0,0,0,2,0,2,0.5
4063,LAFD,,1,0.000197,0,0,0,0,3,0,3,0
4064,LACoFDPIO,,1,0.000197,0,0,0,0,2,0,2,0
4065,LACOFD,,1,0.000197,0,0,0,0,2,0,2,0
4066,PrepareAthon,,6,0.000192,0,0,0,0,3,0,3,0.666667
4067,42_CTS,,6,0.000188,0,0,0,0,2,0,2,1
4068,CMSAF17,,6,0.000189,0,0,0,0,3,0,3,1
4069,SMC_CCC,,6,0.000188,0,0,0,0,2,0,2,1
4070,GPSWorld,,6,0.000189,0,0,0,0,3,0,3,0.833333
4071,EQTW,,6,0.000188,0,0,0,0,2,0,2,0
4072,realspaceforce,,2,0.000189,0,0,0,0,3,0,3,0.666667
4073,TeamBarksdale,,6,0.00019,0,0,0,0,3,0,3,1
4074,armyfutures,,6,0.000188,0,0,0,0,3,0,3,0.833333
4075,joerogan,,2,0.000193,0,0,0,0,3,0,3,0.666667
4076,US_CYBERCOM,,6,0.000188,0,0,0,0,3,0,3,1
4077,ArmyERDC,,6,0.000188,0,0,0,0,3,0,3,1
4078,AFCyberWorx,,6,0.000188,0,0,0,0,2,0,2,1
4079,CSISAerospace,,3,0.000188,0,0,0,0,2,0,2,1
4080,GovofCO,,3,0.000188,0,0,0,0,2,0,2,1
4081,IBD_GRich,,6,0.000188,0,0,0,0,2,0,2,1
4082,CityofCOS,,3,0.000188,0,0,0,0,2,0,2,1
4083,KRDONC13,,3,0.000188,0,0,0,0,2,0,2,1
4084,AFCLC,,6,0.000188,0,0,0,0,2,0,2,1
4085,FOX21News,,3,0.000188,0,0,0,0,2,0,2,1
4086,USFOR_A,,6,0.000189,0,0,0,0,4,0,4,0.916667
4087,MayorofCOS,,3,0.000188,0,0,0,0,2,0,2,1
4088,WeAreGoFL,,6,0.000189,0,0,0,0,3,0,3,0.5
4089,9thRW,,6,0.000188,0,0,0,0,2,0,2,1
4090,TeamEglin,,6,0.00019,0,0,0,0,3,0,3,1
4091,9NEWS,,3,0.000188,0,0,0,0,2,0,2,1
4092,NSCFL,,3,0.000188,0,0,0,0,2,0,2,1
4093,SydneyFreedberg,,6,0.000188,0,0,0,0,2,0,2,1
4094,statedeptspox,,2,0.000188,0,0,0,0,2,0,2,0.5
4095,Stratfor,,6,0.000188,0,0,0,0,2,0,2,1
4096,Newsweek,,4,0.000192,0,0,0,0,7,0,7,0.404762
4097,DoDBuzz,,6,0.000188,0,0,0,0,3,0,3,0.833333
4098,hanlonesq,,1,0.000188,0,0,0,0,2,0,2,0.5
4099,JoelAchenbach,,5,0.000188,0,0,0,0,2,0,2,0
4100,DeborahNetburn,,4,0.000189,0,0,0,0,3,0,3,0.333333
4101,RCScience,,6,0.000188,0,0,0,0,2,0,2,1
4102,texasspace,,3,0.000188,0,0,0,0,2,0,2,1
4103,TexasSpaceNews,,3,0.000188,0,0,0,0,2,0,2,0.5
4104,andrewphunter,,6,0.000188,0,0,0,0,2,0,2,1
4105,SpaceShow,,1,0.000189,0,0,0,0,4,0,4,0.583333
4106,paulmcleary,,6,0.000188,0,0,0,0,2,0,2,1
4107,FAScientists,,6,0.000188,0,0,0,0,2,0,2,1
4108,USIP,,6,0.000188,0,0,0,0,2,0,2,1
4109,NightSkyGuy,,5,0.000188,0,0,0,0,2,0,2,0
4110,FSlazer,,3,0.000188,0,0,0,0,2,0,2,0.5
4111,CIMSEC,,6,0.000188,0,0,0,0,2,0,2,1
4112,r_SpacePolicy,,6,0.000188,0,0,0,0,2,0,2,1
4113,CNNBusiness,,2,0.000188,0,0,0,0,2,0,2,0.5
4114,dodsbir,,6,0.000188,0,0,0,0,2,0,2,1
4115,RepDLamborn,,6,0.000189,0,0,0,0,3,0,3,0.666667
4116,csgazette,,3,0.000188,0,0,0,0,2,0,2,1
4117,GTRI,,1,0.000188,0,0,0,0,2,0,2,0.5
4118,thehill,,6,0.000189,0,0,0,0,3,0,3,0.333333
4119,RaytheonIntel,,1,0.000188,0,0,0,0,2,0,2,0
4120,CSBizJournal,,3,0.000188,0,0,0,0,2,0,2,1
4121,DoDNews,,6,0.000189,0,0,0,0,4,0,4,0.916667
4122,CSCEDC,,3,0.000188,0,0,0,0,2,0,2,1
4123,ArmyCyberInst,,6,0.000188,0,0,0,0,2,0,2,1
4124,LeeBillings,,1,0.000189,0,0,0,0,5,0,5,0.55
4125,NIST,,6,0.000188,0,0,0,0,2,0,2,1
4126,csis_isp,,6,0.000188,0,0,0,0,2,0,2,1
4127,LiveScience,,1,0.000188,0,0,0,0,3,0,3,0.166667
4128,MilAero,,6,0.000188,0,0,0,0,2,0,2,1
4129,Offutt_AFB,,6,0.000188,0,0,0,0,2,0,2,1
4130,AirmanMagazine1,,6,0.000189,0,0,0,0,3,0,3,1
4131,14AF_CCM,,6,0.000188,0,0,0,0,2,0,2,1
4132,usaf2nd,,6,0.000188,0,0,0,0,2,0,2,1
4133,302AirliftWing,,6,0.000188,0,0,0,0,2,0,2,1
4134,618TACC,,6,0.000188,0,0,0,0,2,0,2,1
4135,NASA_ESPO,,1,0.000188,0,0,0,0,3,0,3,0.666667
4136,PHCOE,,6,0.000189,0,0,0,0,4,0,4,0.916667
4137,30DaysThrough,,6,0.000188,0,0,0,0,2,0,2,1
4138,conquestofspace,,1,0.000188,0,0,0,0,3,0,3,0.5
4139,astrogerly,,1,0.000188,0,0,0,0,3,0,3,0.666667
4140,heathermg,,4,0.000189,0,0,0,0,4,0,4,0.666667
4141,RNASAFoundation,,6,0.000189,0,0,0,0,2,0,2,1
4142,CPT_Vasquez,,1,0.000188,0,0,0,0,2,0,2,0.5
4143,rikerjoe,,1,0.000188,0,0,0,0,3,0,3,0.666667
4144,futureguru,,1,0.000188,0,0,0,0,3,0,3,0.833333
4145,jaredbadams,,6,0.000188,0,0,0,0,2,0,2,1
4146,BethC29,,6,0.000188,0,0,0,0,2,0,2,1
4147,SpiritAmerica,,6,0.000188,0,0,0,0,2,0,2,1
4148,FortLeavenworth,,6,0.000188,0,0,0,0,2,0,2,1
4149,oceanexplorer,,1,0.000191,0,0,0,0,5,0,5,0.4
4150,403rdWing,,6,0.000188,0,0,0,0,2,0,2,1
4151,kennedysc,,1,0.000188,0,0,0,0,3,0,3,0.5
4152,CSEdCenter,,1,0.000189,0,0,0,0,3,0,3,0.333333
4153,NatSecCNN,,6,0.000189,0,0,0,0,4,0,4,0.916667
4154,ARMYSOUTH,,6,0.000188,0,0,0,0,2,0,2,1
4155,MeteoriteMen,,1,0.000188,0,0,0,0,2,0,2,0
4156,argonne,,4,0.000191,0,0,0,0,6,0,6,0.566667
4157,afneurope,,6,0.00019,0,0,0,0,4,0,4,0.833333
4158,MarcyMMF,,3,0.000188,0,0,0,0,3,0,3,0.833333
4159,VirtualAstro,,1,0.000189,0,0,0,0,5,0,5,0.55
4160,greg_moran,,1,0.000188,0,0,0,0,2,0,2,0.5
4161,TeeeBone,,1,0.000188,0,0,0,0,2,0,2,0.5
4162,rabelcher1,,1,0.000188,0,0,0,0,2,0,2,0.5
4163,norfolkdistrict,,6,0.000188,0,0,0,0,2,0,2,1
4164,ResoluteSupport,,6,0.000188,0,0,0,0,2,0,2,1
4165,Bill_Adkins,,5,0.000188,0,0,0,0,2,0,2,0
4166,NASA_HSF,,1,0.00019,0,0,0,0,6,0,6,0.7
4167,121ARW,,6,0.000188,0,0,0,0,2,0,2,1
4168,bjgreg,,1,0.000188,0,0,0,0,2,0,2,0.5
4169,ATK,,3,0.00019,0,0,0,0,5,0,5,0.55
4170,LunarNews,,1,0.000188,0,0,0,0,2,0,2,0.5
4171,MarkKirkman,,3,0.000188,0,0,0,0,3,0,3,0.833333
4172,PRDork,,6,0.000188,0,0,0,0,2,0,2,1
4173,Scobleizer,,1,0.000188,0,0,0,0,4,0,4,0.75
4174,KKTV11News,,3,0.000188,0,0,0,0,2,0,2,1
4175,USArmyAfrica,,6,0.000189,0,0,0,0,4,0,4,0.916667
4176,180thFW,,6,0.000188,0,0,0,0,2,0,2,1
4177,AirForceNYC,,6,0.000189,0,0,0,0,3,0,3,1
4178,chrisbrogan,,1,0.000188,0,0,0,0,2,0,2,0.5
4179,AFRC_433,,6,0.000188,0,0,0,0,2,0,2,1
4180,ArmyMateriel,,6,0.000189,0,0,0,0,4,0,4,0.916667
4181,MaxwellAFB,,6,0.000188,0,0,0,0,2,0,2,1
4182,AeroTweets,,3,0.000189,0,0,0,0,4,0,4,0.583333
4183,RocketGirl_AMB,,1,0.000188,0,0,0,0,2,0,2,0.5
4184,KOAA,,3,0.000188,0,0,0,0,2,0,2,1
4185,EPA,,6,0.000199,0,0,0,0,8,0,8,0.482143
4186,HHSGov,,6,0.000196,0,0,0,0,6,0,6,0.6
4187,USTreasury,,6,0.000196,0,0,0,0,6,0,6,0.6
4188,SBAgov,,6,0.000194,0,0,0,0,2,0,2,0.5
4189,ENERGY,,6,0.000196,0,0,0,0,6,0,6,0.433333
4190,USUN,,6,0.000194,0,0,0,0,2,0,2,1
4191,Scavino45,,6,0.00021,0,0,0,0,3,0,3,0.5
4192,PressSec,,6,0.000211,0,0,0,0,4,0,4,0.75
4193,Astro_Gee,,7,0.000189,0,0,0,0,2,0,2,0
4194,TEDxNASA,,1,0.000189,0,0,0,0,4,0,4,0.5
4195,xkcd,,5,0.000188,0,0,0,0,2,0,2,0.5
4196,cyantist,,1,0.000188,0,0,0,0,2,0,2,0
4197,shivon,,2,0.000193,0,0,0,0,2,0,2,1
4198,jimmy_wales,,1,0.000189,0,0,0,0,2,0,2,0.5
4199,UniverCurious,,2,0.000193,0,0,0,0,2,0,2,1
4200,physicsJ,,3,0.000189,0,0,0,0,3,0,3,0.333333
4201,salimismail,,1,0.000189,0,0,0,0,3,0,3,0.5
4202,Blklivesmatter,,2,0.000193,0,0,0,0,2,0,2,1
4203,sarahcpr,,2,0.000189,0,0,0,0,2,0,2,0.5
4204,katrosenfield,,2,0.00019,0,0,0,0,2,0,2,0
4205,AOC,,5,0.000191,0,0,0,0,3,0,3,0.5
4206,paulg,,1,0.000189,0,0,0,0,2,0,2,0.5
4207,Rainmaker1973,,5,0.000188,0,0,0,0,2,0,2,0.5
4208,hitRECordJoe,,2,0.00019,0,0,0,0,3,0,3,0.5
4209,dwallacewells,,2,0.000189,0,0,0,0,2,0,2,0.5
4210,AndreaCoravos,,2,0.000188,0,0,0,0,2,0,2,0
4211,RealRonHoward,,2,0.000193,0,0,0,0,6,0,6,0.2
4212,slatestarcodex,,2,0.000193,0,0,0,0,2,0,2,1
4213,SciShow,,2,0.000188,0,0,0,0,2,0,2,0
4214,minutephysics,,2,0.000188,0,0,0,0,2,0,2,0
4215,fermatslibrary,,2,0.000193,0,0,0,0,2,0,2,1
4216,EricRWeinstein,,1,0.000189,0,0,0,0,2,0,2,0.5
4217,womensmarch,,2,0.000189,0,0,0,0,2,0,2,0.5
4218,HardcoreHistory,,2,0.000193,0,0,0,0,2,0,2,1
4219,HistoryInPics,,2,0.000193,0,0,0,0,2,0,2,1
4220,DeepMind,,2,0.000193,0,0,0,0,2,0,2,1
4221,TonyRobbins,,1,0.000189,0,0,0,0,2,0,2,0.5
4222,stewartbrand,,2,0.000188,0,0,0,0,2,0,2,0
4223,arrington,,1,0.000189,0,0,0,0,3,0,3,0.333333
4224,ramez,,1,0.000189,0,0,0,0,2,0,2,0.5
4225,Lin_Manuel,,2,0.000189,0,0,0,0,3,0,3,0.5
4226,reidhoffman,,1,0.000189,0,0,0,0,2,0,2,0.5
4227,jeancase,,1,0.000195,0,0,0,0,2,0,2,0
4228,singularityhub,,1,0.000189,0,0,0,0,3,0,3,0.333333
4229,atlasobscura,,2,0.000193,0,0,0,0,2,0,2,1
4230,avantgame,,1,0.000188,0,0,0,0,2,0,2,0
4231,katiecouric,,2,0.000189,0,0,0,0,2,0,2,0.5
4232,Borthwick,,1,0.000189,0,0,0,0,2,0,2,0.5
4233,veritasium,,5,0.000191,0,0,0,0,3,0,3,0.666667
4234,pschiller,,1,0.000189,0,0,0,0,2,0,2,0.5
4235,xkcdComic,,2,0.000194,0,0,0,0,4,0,4,0.5
4236,Snowden,,2,0.000195,0,0,0,0,2,0,2,0.5
4237,sama,,1,0.000189,0,0,0,0,2,0,2,0.5
4238,sacca,,1,0.000188,0,0,0,0,2,0,2,0
4239,Jason,,2,0.000194,0,0,0,0,2,0,2,1
4240,byjacobward,,1,0.000188,0,0,0,0,3,0,3,0.333333
4241,gavinpurcell,,2,0.000189,0,0,0,0,2,0,2,0
4242,GraceParra360,,2,0.000189,0,0,0,0,2,0,2,0.5
4243,PeterGuber,,1,0.000188,0,0,0,0,2,0,2,0
4244,BoredElonMusk,,1,0.000189,0,0,0,0,2,0,2,0.5
4245,ericries,,1,0.000189,0,0,0,0,2,0,2,0.5
4246,Zappos,,1,0.000188,0,0,0,0,2,0,2,0
4247,cgpgrey,,2,0.000193,0,0,0,0,2,0,2,1
4248,kevinrose,,1,0.000188,0,0,0,0,2,0,2,0
4249,RichardDawkins,,2,0.000197,0,0,0,0,3,0,3,0.666667
4250,kevin2kelly,,1,0.000189,0,0,0,0,2,0,2,0.5
4251,JasonSilva,,1,0.000189,0,0,0,0,3,0,3,0.333333
4252,aubreydegrey,,1,0.000189,0,0,0,0,2,0,2,0.5
4253,GaryMarcus,,2,0.000188,0,0,0,0,2,0,2,0
4254,brainpicker,,1,0.000188,0,0,0,0,2,0,2,0
4255,sapinker,,1,0.000189,0,0,0,0,2,0,2,0.5
4256,TheOnion,,2,0.000194,0,0,0,0,3,0,3,0.5
4257,tferriss,,2,0.000191,0,0,0,0,3,0,3,0.166667
4258,gruber,,1,0.000188,0,0,0,0,2,0,2,0
4259,tweetsauce,,3,0.000189,0,0,0,0,4,0,4,0.25
4260,jasonfried,,1,0.000188,0,0,0,0,2,0,2,0
4261,dhh,,1,0.000188,0,0,0,0,2,0,2,0
4262,Kurz_Gesagt,,1,0.000188,0,0,0,0,2,0,2,0
4263,chrisrock,,2,0.000191,0,0,0,0,3,0,3,0.166667
4264,UberFacts,,2,0.000189,0,0,0,0,2,0,2,0.5
4265,StephenKing,,2,0.00019,0,0,0,0,3,0,3,0.5
4266,robdelaney,,2,0.00019,0,0,0,0,2,0,2,0
4267,Gladwell,,1,0.000189,0,0,0,0,2,0,2,0.5
